horizon,mae,rmse,mape,r2,crps,picp_80,sharpness,pinball_q10,pinball_q50,pinball_q90,pinball_total
1,1.3057,1.7549,1.7112,0.9858,-0.1168,90.2610,5.3170,0.3000,0.6529,0.3482,1.3010
2,1.3877,1.8986,1.8323,0.9833,-0.0801,88.2114,5.2846,0.3220,0.6939,0.3619,1.3777
3,1.4735,2.0180,1.9624,0.9812,-0.0065,88.9397,5.7927,0.3561,0.7367,0.3799,1.4727
4,1.5351,2.1339,2.0532,0.9789,0.0529,86.0264,5.5846,0.3780,0.7675,0.3944,1.5399
5,1.6029,2.2299,2.1494,0.9770,0.0420,85.3561,5.9214,0.3997,0.8015,0.4097,1.6109
6,1.7137,2.3766,2.3068,0.9739,0.1539,85.2336,6.4994,0.4482,0.8569,0.4240,1.7291
7,1.8550,2.5328,2.4896,0.9703,0.0911,85.1563,6.8299,0.4571,0.9275,0.4554,1.8400
8,1.9596,2.6502,2.6412,0.9675,0.1540,80.3867,6.3288,0.4664,0.9798,0.4704,1.9166
9,2.0748,2.7876,2.8023,0.9640,0.1534,80.0967,6.6776,0.4853,1.0374,0.4967,2.0194
10,2.1292,2.8687,2.8802,0.9619,0.3004,75.7525,6.4541,0.4978,1.0646,0.5381,2.1005
11,2.1845,2.9568,2.9769,0.9595,0.3302,75.6880,6.5442,0.5214,1.0923,0.5559,2.1695
12,2.2196,3.0259,3.0194,0.9576,0.3659,75.9136,6.9495,0.5595,1.1098,0.5754,2.2447
13,2.2970,3.1249,3.1286,0.9548,0.4259,73.5095,6.7758,0.5728,1.1485,0.5771,2.2983
14,2.3450,3.1892,3.1967,0.9529,0.3519,73.3419,6.5939,0.5749,1.1725,0.5757,2.3230
15,2.3355,3.2116,3.1958,0.9522,0.2618,71.3890,6.2361,0.5856,1.1677,0.5784,2.3317
16,2.4068,3.3006,3.2886,0.9495,0.2275,73.5095,6.5164,0.5942,1.2034,0.5836,2.3811
17,2.4401,3.3600,3.3269,0.9477,0.2638,72.8714,6.5883,0.6056,1.2200,0.6090,2.4346
18,2.5013,3.4480,3.4179,0.9449,0.2177,73.5546,6.8387,0.6212,1.2506,0.6231,2.4949
19,2.5471,3.5279,3.4786,0.9423,0.1409,74.0896,7.3290,0.6364,1.2735,0.6447,2.5546
20,2.6326,3.6051,3.5881,0.9398,0.2754,72.5298,7.0372,0.6471,1.3163,0.6605,2.6239
21,2.6866,3.6824,3.6594,0.9372,0.2861,72.9230,7.3159,0.6584,1.3433,0.6666,2.6683
22,2.7853,3.7817,3.7889,0.9337,0.4515,71.4792,7.2798,0.6718,1.3927,0.6717,2.7362
23,2.8118,3.8254,3.8277,0.9322,0.3593,73.7480,7.8579,0.6807,1.4059,0.6925,2.7792
24,2.9699,3.9708,4.0300,0.9269,0.5618,68.3145,7.3482,0.6866,1.4850,0.7534,2.9249
